job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Data Analyst,"Summer Internship -Data Analyst Intern, Risk Management","Marlborough, MA",via Boatingrevealed.com,"Full-time, Part-time, and Internship",False,"New York, United States",2024-01-01 00:00:01,False,True,United States,,,,BJ's Wholesale Club,['excel'],{'analyst_tools': ['excel']}
Data Analyst,"Staff Data Analyst Operations, Infrastructure & Systems","Fremont, CA",via ClimateTechList,Full-time,False,"California, United States",2024-01-01 00:00:11,True,False,United States,,,,Tesla,"['tableau', 'flow']","{'analyst_tools': ['tableau'], 'other': ['flow']}"
Data Analyst,Junior Data Analyst - Entry Level,"Waco, TX",via ZipRecruiter,Full-time and Part-time,False,"Texas, United States",2024-01-01 00:00:15,True,False,United States,,,,Next Recruiting,,
Data Analyst,"Data Analyst/Engineer, Supply Chain Optimization Internship...","Austin, TX",via ClimateTechList,Internship,False,"Texas, United States",2024-01-01 00:00:18,False,False,United States,,,,Tesla,['spring'],{'libraries': ['spring']}
Data Scientist,It analyst,"Tampa, FL",via Talent.com,Full-time,False,"Florida, United States",2024-01-01 00:00:29,True,False,United States,,,,VirtualVocations,,
Senior Data Scientist,"Senior Data Scientist, Growth",Anywhere,via ZipRecruiter,Full-time,True,"California, United States",2024-01-01 00:00:43,False,True,United States,,,,Atlassian,"['sql', 'python', 'r', 'c', 'tableau', 'microstrategy', 'sap', 'looker', 'atlassian']","{'analyst_tools': ['tableau', 'microstrategy', 'sap', 'looker'], 'other': ['atlassian'], 'programming': ['sql', 'python', 'r', 'c']}"
Machine Learning Engineer,"Machine Learning Scientist, Prescient Design","San Ramon, CA",via Monster,Full-time,False,"California, United States",2024-01-01 00:00:46,False,False,United States,,,,Genentech,"['python', 'pytorch', 'github']","{'libraries': ['pytorch'], 'other': ['github'], 'programming': ['python']}"
Machine Learning Engineer,Associate Machine Learning Scientist - MLDD,"Menlo Park, CA",via Monster,Full-time,False,"California, United States",2024-01-01 00:00:46,False,False,United States,,,,Genentech,"['python', 'pytorch', 'tensorflow', 'github']","{'libraries': ['pytorch', 'tensorflow'], 'other': ['github'], 'programming': ['python']}"
Data Analyst,Data analyst,"Dallas, TX",via Talent.com,Full-time,False,"Texas, United States",2024-01-01 00:00:53,True,False,United States,,,,TEKsystems,,
Data Scientist,"Associate Director, Data Science and Analytics","Birmingham, AL",via BeBee,Full-time,False,"Illinois, United States",2024-01-01 00:01:00,False,True,United States,,,,Razorfish,"['sql', 'r', 'python', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'programming': ['sql', 'r', 'python']}"
Senior Data Analyst,Senior Data Analyst,United States,via BeBee,Full-time,False,"Illinois, United States",2024-01-01 00:01:03,False,False,United States,,,,Club Car LLC,"['sql', 'javascript', 'sql server', 'oracle', 'express', 'tableau', 'alteryx', 'excel']","{'analyst_tools': ['tableau', 'alteryx', 'excel'], 'cloud': ['oracle'], 'databases': ['sql server'], 'programming': ['sql', 'javascript'], 'webframeworks': ['express']}"
Data Scientist,Director data science,"Norcross, GA",via Talent.com,Full-time,False,"Florida, United States",2024-01-01 00:01:08,False,False,United States,,,,VirtualVocations,,
Data Engineer,Data Engineer - Vice President,"New York, NY",via Monster,Full-time,False,"New York, United States",2024-01-01 00:01:11,False,True,United States,,,,iCapital,"['mongodb', 'mongodb', 'nosql', 'python', 'scala', 'java', 'kotlin', 'postgresql', 'redshift', 'snowflake', 'aws', 'terraform']","{'cloud': ['redshift', 'snowflake', 'aws'], 'databases': ['mongodb', 'postgresql'], 'other': ['terraform'], 'programming': ['mongodb', 'nosql', 'python', 'scala', 'java', 'kotlin']}"
Data Engineer,Staff Software Engineer (Data)  - Activision Blizzard Media,"San Francisco, CA",via Activision Careers,Full-time and Part-time,False,"New York, United States",2024-01-01 00:01:15,False,True,United States,,,,Activision,"['java', 'python', 'nosql', 'sql', 'mysql', 'cassandra', 'gcp', 'spark', 'hadoop', 'kafka']","{'cloud': ['gcp'], 'databases': ['mysql', 'cassandra'], 'libraries': ['spark', 'hadoop', 'kafka'], 'programming': ['java', 'python', 'nosql', 'sql']}"
Data Engineer,"Internship, Energy Data Engineer (Spring 2024)","Fremont, CA",via ClimateTechList,Internship,False,"California, United States",2024-01-01 00:01:36,False,False,United States,,,,Tesla,['spring'],{'libraries': ['spring']}
Software Engineer,Software Engineer,"Sterling, VA",via RTX - Careers,Full-time,False,"Texas, United States",2024-01-01 00:02:25,False,False,United States,,,,RTX,['java'],{'programming': ['java']}
Data Engineer,Quantitative Data Engineer,"New York, NY",via Monster,Full-time,False,"Illinois, United States",2024-01-01 00:02:49,False,False,United States,,,,MassMutual,"['python', 'sql', 'nosql', 'mongo', 'aws', 'tableau', 'looker', 'git']","{'analyst_tools': ['tableau', 'looker'], 'cloud': ['aws'], 'other': ['git'], 'programming': ['python', 'sql', 'nosql', 'mongo']}"
Data Engineer,Principal Data Engineer,Anywhere,via ZipRecruiter,Full-time,True,"Florida, United States",2024-01-01 00:03:19,False,True,United States,,,,Atlassian,"['c', 'python', 'java', 'scala', 'aws', 'redshift', 'databricks', 'spark', 'kafka', 'atlassian']","{'cloud': ['aws', 'redshift', 'databricks'], 'libraries': ['spark', 'kafka'], 'other': ['atlassian'], 'programming': ['c', 'python', 'java', 'scala']}"
Data Analyst,Online Data Analyst (m/w/d),"North Rhine-Westphalia, Germany",via Recruit.net,Full-time and Part-time,False,Germany,2024-01-01 00:04:04,True,False,Germany,,,,Telus International AI Inc.,,
Data Analyst,Data Analyst für operatives IT Reporting (m/w/d),"Lower Saxony, Germany",via Recruit.net,Full-time,False,Germany,2024-01-01 00:04:04,True,False,Germany,,,,Dirk Rossmann GmbH,,
Business Analyst,Business & Process Analyst (m/w/d) Einkauf,"North Rhine-Westphalia, Germany",via Recruit.net,Full-time,False,Germany,2024-01-01 00:04:07,False,False,Germany,,,,August Storck KG,,
Data Scientist,Referent Data Governance (m/w/d),"North Rhine-Westphalia, Germany",via Recruit.net,Full-time,False,Germany,2024-01-01 00:04:08,True,False,Germany,,,,S-Kreditpartner GmbH,,
Data Analyst,"Data Analyst (m/w/d) mit Schwerpunkt Microsoft Power B, Beratung...",Germany,via Recruit.net,Full-time,False,Germany,2024-01-01 00:04:14,True,False,Germany,,,,inpraxi Unternehmensberatung GmbH & Co. KG,"['sql', 'power bi', 'dax']","{'analyst_tools': ['power bi', 'dax'], 'programming': ['sql']}"
Data Scientist,Data Scientist (m/w/d),"Berlin, Germany",via Indeed,Full-time,False,Germany,2024-01-01 00:04:14,False,False,Germany,,,,FERCHAU,"['sql', 'python', 'r', 'azure', 'databricks', 'snowflake', 'airflow', 'spark', 'tableau']","{'analyst_tools': ['tableau'], 'cloud': ['azure', 'databricks', 'snowflake'], 'libraries': ['airflow', 'spark'], 'programming': ['sql', 'python', 'r']}"
Data Engineer,Ausbildungsplatz als Elektroniker fuer Informations und...,"North Rhine-Westphalia, Germany",via Recruit.net,Full-time,False,Germany,2024-01-01 00:04:19,True,False,Germany,,,,Telemark Telekommunikationsgesellschaft Mark mbH,,
Machine Learning Engineer,Computer Vision Scientists (f/m/x),"Oberkochen, Germany",via Stepstone,Full-time,False,Germany,2024-01-01 00:04:19,False,False,Germany,,,,ZEISS,"['python', 'c++', 'excel']","{'analyst_tools': ['excel'], 'programming': ['python', 'c++']}"
Data Engineer,Data Engineer / ETL-Developer im IT Consulting (m/w/d),Germany,via Recruit.net,Full-time,False,Germany,2024-01-01 00:04:21,True,False,Germany,,,,ISR Information Products AG,"['sql', 'aws', 'azure', 'sap']","{'analyst_tools': ['sap'], 'cloud': ['aws', 'azure'], 'programming': ['sql']}"
Data Engineer,Data Engineer,"Konstanz, Germany",via BeBee,Full-time,False,Germany,2024-01-01 00:04:21,False,False,Germany,,,,KNIME,"['sql', 'linux', 'spreadsheet']","{'analyst_tools': ['spreadsheet'], 'os': ['linux'], 'programming': ['sql']}"
Senior Data Engineer,Senior Data Engineer (f/m/d),"North Rhine-Westphalia, Germany",via Recruit.net,Full-time,False,Germany,2024-01-01 00:04:21,False,False,Germany,,,,Bayer AG,,
